"OSLIC","DSLIC","VOL"
"1000","4810",1.819
"1000","3355",1.661
"1000","6043",1.556
"1000","3357",1.504
"1000","3650",1.451
"1000","9300",1.451
"1000","6650",1.451
"1000","7680",1.451
"1014","2790",1.503
"1014","9351",1.451
"1014","1360",1.503
"1014","5640",1.451
"1014","9353",1.451
"1014","7040",1.503
"1014","9491",1.819
"1014","4830",1.714
"1014","8040",1.451
"1014","3680",1.451
"1030","9882",1.451
"1030","3176",2.24
"1030","4351",2.135
"1030","5930",1.504
"1030","4635",3.766
"1030","3881",1.451
"1030","4737",1.556
"1030","2650",2.24
"1030","6350",1.503
"1030","8641",1.556
"1030","2961",1.819
"1030","1200",3.925
"1030","2855",1.661
"1050","5840",1.714
"1050","5653",1.556
"1050","4390",2.082
"1050","5460",2.713
"1050","6170",4.451
"1050","8461",1.451
"1050","1830",7.504
"1050","4636",3.871
"1050","7191",1.451
"1050","3491",2.819
"1050","5620",2.662
"1050","1482",2.293
"1050","5000",5.398
"1050","7811",1.767
"1050","4581",6.082
"1090","8130",2.346
"1090","9444",1.977
"1090","8640",1.503
"1090","3260",6.555
"1090","4271",3.609
"1090","9911",1.503
"1090","9851",1.82
"1090","8070",1.556
"1090","2620",1.872
"1090","4806",4.03
"1090","9684",1.503
"1090","3861",2.398
"1090","3190",3.24
"1090","2834",2.871
"1090","5630",3.451
"1170","6561",4.293
"1170","3861",5.187
"1170","7170",2.871
"1170","5390",6.609
"1170","8080",2.187
"1170","3562",6.293
"1170","7652",13.766
"1170","7880",1.925
"1170","9452",13.556
"1170","4830",19.083
"1170","4305",16.714
"1170","2751",16.977
"1170","3701",11.714
"1170","4096",7.45
"1170","8070",2.977
"1200","4720",1.871
"1200","8750",1.556
"1200","7280",1.503
"1200","1350",12.871
"1200","1631",1.662
"1200","7360",1.451
"1200","4370",1.977
"1200","9221",1.609
"1200","3340",1.925
"1200","4754",1.82
"1200","4972",1.556
"1200","1530",2.082
"1250","8046",1.451
"1250","8130",1.556
"1250","7801",1.609
"1250","4405",1.609
"1250","5501",1.451
"1250","7680",1.451
"1250","5200",1.556
"1250","9453",1.451
"1250","5430",2.293
"1250","9823",1.503
"1250","7020",1.503
"1250","2870",2.661
"1251","4902",2.713
"1251","2960",3.556
"1251","7760",1.819
"1251","6751",1.714
"1251","2891",1.609
"1251","4535",2.503
"1251","1632",2.661
