"OSLIC","DSLIC","VOL"
"1000","3930",1.609
"1000","6530",1.451
"1000","9310",1.609
"1000","3120",1.872
"1000","2802",1.503
"1000","7980",1.451
"1000","9556",1.661
"1000","8531",1.503
"1000","6470",1.503
"1000","4423",1.503
"1000","5380",1.451
"1000","1530",1.556
"1000","5220",1.503
"1000","5431",1.451
"1000","6600",1.556
"1000","8332",1.503
"1000","3491",1.767
"1000","3640",1.451
"1000","2850",1.451
"1000","7240",1.451
"1000","4660",1.609
"1000","1270",1.608
"1000","3570",1.503
"1000","2810",1.451
"1000","8472",1.556
"1000","8551",1.451
"1000","3020",1.503
"1000","5340",1.556
"1000","3040",1.766
"1000","4105",1.451
"1000","3355",1.661
"1000","2941",1.661
"1000","7120",1.451
"1000","4690",1.451
"1000","3560",1.556
"1000","4550",1.819
"1000","2451",2.714
"1000","3045",1.504
"1000","3861",1.556
"1000","6182",1.451
"1000","8050",1.503
"1000","8460",1.925
"1000","5021",1.503
"1000","4370",1.924
"1000","7020",1.556
"1000","2951",1.662
"1000","3385",1.503
"1000","8430",1.556
"1000","8600",1.451
"1000","4737",1.451
"1000","3022",1.503
"1000","4170",1.503
"1000","9003",1.608
"1000","6041",2.398
"1000","4793",1.556
"1000","4850",1.504
"1000","4944",1.451
"1000","7801",1.503
"1000","4770",1.609
"1000","2797",1.451
"1000","2960",1.556
"1000","9960",1.503
"1000","3082",1.503
"1000","6063",2.082
"1000","3303",1.451
"1000","6751",1.451
"1000","1050",3.24
"1000","1830",1.451
"1000","1482",1.451
"1000","2864",1.451
"1000","2721",1.556
"1000","8630",1.451
"1000","2970",1.977
"1000","1610",1.609
"1000","8530",1.767
"1000","3241",1.503
"1000","3070",1.451
"1000","6200",1.451
"1000","8440",1.503
"1000","7160",1.503
"1000","4961",1.503
"1014","2711",1.872
"1014","3854",1.556
"1014","5980",1.451
"1014","1255",4.03
"1014","6100",1.451
"1014","3150",1.451
"1014","6650",1.766
"1014","5250",1.451
"1014","4872",1.503
"1014","3562",1.451
"1014","2810",1.503
"1014","5630",2.135
"1014","3385",1.451
"1014","2911",1.451
"1014","3950",1.503
"1014","9680",1.451
"1014","5653",1.451
"1014","5471",1.451
"1014","6041",1.872
"1014","7851",2.082
"1014","4550",1.661
"1014","2781",1.714
"1014","4971",1.451
"1014","4310",1.503
"1014","1050",3.609
"1014","5486",1.503
"1014","3343",1.661
"1014","2241",1.451
