OSLIC,DSLIC,VOL,SVC1,SVC2,DASH,SLIC1,SLIC2,SLIC3,SLIC4,SLIC5,SLIC6,SLIC7,SLIC8,SLIC9,SLIC10,SLIC11,SLIC12,SLIC13,SLIC14,SLIC15
1014,1340,1.661,1,1,-,1014,1029,1229,1340,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,1302,1.556,1,1,-,1014,1029,1229,1302,1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,9601,1.925,5,5,-,1050,1069,6059,9589,9601,9601,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,7351,1.504,4,4,-,1050,1069,6059,6059,6059,7319,7351,7351,NA,NA,NA,NA,NA,NA,NA
1050,5340,5.029,3,3,-,1050,1069,6059,6059,6059,6059,5340,5340,NA,NA,NA,NA,NA,NA,NA
1050,8342,1.609,6,6,-,1050,1069,6059,6059,8349,8342,8342,NA,NA,NA,NA,NA,NA,NA,NA
1050,9732,1.609,5,5,-,1050,1069,6059,9729,9732,9732,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,5260,2.45,3,3,-,1050,1069,6059,6059,5260,5260,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,5771,1.503,4,4,-,1050,1069,6059,6059,5719,5771,5771,NA,NA,NA,NA,NA,NA,NA,NA
1050,8321,1.451,5,5,-,1050,1069,6059,6059,8459,8459,8459,8321,8321,NA,NA,NA,NA,NA,NA
1050,8472,2.556,5,5,-,1050,1069,6059,6059,8472,8472,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,4993,1.714,3,3,-,1050,1069,6059,6059,4993,4993,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,6290,3.082,3,3,-,1050,1069,6059,6059,6059,6290,6290,NA,NA,NA,NA,NA,NA,NA,NA
1050,5720,1.766,4,4,-,1050,1069,6059,6059,5719,5719,5720,5720,NA,NA,NA,NA,NA,NA,NA
1050,1170,27.134,1,1,-,1050,1069,1119,1170,1170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,8346,1.767,5,5,-,1050,1069,6059,6059,8459,8459,8459,8346,8346,NA,NA,NA,NA,NA,NA
1050,5941,1.451,5,5,-,1050,1069,6059,6059,5919,5969,5941,5941,NA,NA,NA,NA,NA,NA,NA
1090,1302,5.451,1,1,-,1090,1229,1302,1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1090,1440,5.608,2,2,-,1090,1229,1229,1329,1440,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,5771,2.661,4,4,-,1170,6059,6059,5719,5771,5771,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,9911,2.398,5,5,-,1170,6059,9929,9929,9911,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,6252,5.45,3,3,-,1170,6059,6059,6059,6059,6252,6252,NA,NA,NA,NA,NA,NA,NA,NA
1170,5991,1.977,5,5,-,1170,6059,9929,5991,5991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,9571,3.819,5,5,-,1170,6059,9589,9571,9571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,9710,2.872,5,5,-,1170,6059,9729,9710,9710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,5580,10.345,3,3,-,1170,6059,6059,5580,5580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,8010,13.556,4,4,-,1170,6059,6059,8010,8010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,9780,2.083,5,5,-,1170,6059,9929,9789,9780,9780,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,4200,7.819,3,3,-,1170,6059,6059,4200,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,6290,9.503,3,3,-,1170,6059,6059,6059,6290,6290,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,5050,4.082,3,3,-,1170,6059,6059,5050,5050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,2160,14.976,1,1,-,1170,1919,2160,2160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,5490,27.767,3,3,-,1170,6059,6059,6059,6059,5490,5490,NA,NA,NA,NA,NA,NA,NA,NA
1170,9590,5.451,5,5,-,1170,6059,9589,9590,9590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,8320,3.45,5,5,-,1170,6059,6059,8320,8320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170,5430,12.819,3,3,-,1170,6059,6059,6059,5430,5430,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,1680,2.766,2,2,-,1200,1229,1569,1569,1680,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,8130,1.609,5,5,-,1200,1329,6059,8029,8130,8130,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,9822,1.714,5,5,-,1200,1329,6059,9822,9822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,1251,4.293,1,1,-,1200,1229,1229,1251,1251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,1340,8.24,1,1,-,1200,1329,1340,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,5460,1.766,2,2,-,1200,1329,5319,5460,5460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,2121,5.557,2,2,-,1200,1229,2079,2079,2121,2121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,7280,1.503,4,4,-,1200,1329,4429,4519,4519,4519,4519,4519,7229,7280,7280,NA,NA,NA,NA
1200,3171,1.977,3,3,-,1200,1329,3009,3009,3171,3171,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,8430,2.451,5,5,-,1200,1329,6059,8430,8430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,9531,1.661,5,5,-,1200,1329,9489,9489,9531,9531,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,1770,3.977,1,1,-,1200,1329,1770,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
