"SLIC","SLIC_Name","SLIC_Type","SLIC_State","OpTyp","SORT","CAP","SPAN","STRT","Facility.x","Facility.y"
"9684","KAUAI","CTR","HI","PKG","L",3410,328,1700,-1.80785109381247,1.92047503736222
"9680","HONOLULU","CTR","HI","PKG","L",960000,328,1700,-1.81500145278802,1.89561638704945
"9682","MAUI","CTR","HI","PKG","L",6353,328,1700,-1.81772860052951,1.87072746214884
"9670","KONA","CTR","HI","PKG","L",2470,328,1700,-1.83766011359983,1.85926408740954
"9683","HILO","CTR","HI","PKG","L",2509,328,1700,-1.83321004740586,1.84496148901857
"9965","KODIAK","CTR","AK","PKG","L",1039999,328,1700,-1.16601915460626,1.95979112946023
"9966","HOMER","CTR","AK","PKG","L",820000,328,1700,-1.12728039620682,1.95841879731079
"9961","KENAI","CTR","AK","PKG","L",2140,328,1700,-1.10859958380358,1.96046840508445
"9954","ANCHORAGE","CTR","AK","PKG","P",940000,403,400,-1.0928912254844,1.95159589843705
"9960","FAIRBANKS","CTR","AK","PKG","L",3169,328,1700,-1.0137765358729,1.95189383079979
"9967","SITKA","CTR","AK","PKG","L",1069999,328,1700,-1.12427609784236,1.78272420847255
"9962","JUNEAU","CTR","AK","PKG","L",4628,328,1700,-1.09744363516627,1.78505488973285
"9964","KETCHIKAN","CTR","AK","PKG","L",4371,328,1700,-1.1392733867698,1.73350180897647
"9744","BROOKINGS","CTR","OR","PKG","L",1965,328,1700,-1.31966063750914,1.54800565706961
"9742","COOS BAY","CTR","OR","PKG","L",5071,328,1700,-1.298153083541,1.55909772430345
"9551","CRESCENT CITY","CTR","CA","PKG","P",1099999,403,400,-1.32271960531738,1.54471875954427
"9745","EUGENE-FLORENCE","CTR","OR","PKG","L",2261,328,1700,-1.2872953594642,1.56262868046969
"9732","NEWPORT","CTR","OR","PKG","L",4480,328,1700,-1.27699179643982,1.56749286853718
"9710","ASTORIA (9863)","CTR","OR","PKG","L",3561,328,1700,-1.25293750288166,1.57781141183688
"9546","FT BRAGG","CTR","CA","PKG","L",3296,328,1700,-1.35775004246859,1.52135909317035
"9711","TILLAMOOK","CTR","OR","PKG","L",2178,328,1700,-1.26391254117862,1.57076754483163
"9851","ELMA","CTR","WA","PKG","L",4243,328,1700,-1.23690848258343,1.57996701922204
"9741","ROSEBURG","CTR","OR","PKG","L",1139999,328,1700,-1.29708109443759,1.54697192473062
